Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Spring St - Flinders St (West),6,N/A,2,N/A,N/A,5,71,29,14,40,20,30,40,28,46,48,51,43,27,19,7,6,3,4
Macaulay Rd - Bellair St,2,2,2,N/A,N/A,3,11,34,76,116,98,130,141,140,114,97,96,142,117,56,36,13,2,3
Harbour Esplanade - Pedestrian Path,8,2,5,2,5,19,41,79,112,122,132,106,160,161,184,167,217,344,308,172,103,88,48,34
Harbour Esplanade - Bike Path,3,N/A,N/A,N/A,N/A,N/A,3,21,34,24,32,30,40,48,42,63,69,45,10,2,2,3,N/A,N/A
Total,894,762,463,405,491,1306,3679,5605,7421,7490,8276,9024,11622,11956,11097,11004,11486,13459,10704,7314,4965,3456,2890,1625


Average Hourly Pedestrian Counts for Friday over the past 4 weeks. 
Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),47,18,19,9,12,13,61,100,169,304,487,759,1065,1213,1151,1141,1191,1210,1072,843,612,389,249,148
Bourke Street Mall (South),27,10,17,5,25,8,30,73,114,181,306,456,674,757,676,668,591,492,380,273,197,110,91,62
Melbourne Central,87,39,24,18,14,23,54,73,112,129,192,282,424,467,452,469,468,583,602,619,592,498,385,279
Town Hall (West),82,31,18,20,21,49,109,214,354,486,671,935,1281,1396,1287,1271,1280,1298,1128,913,773,675,515,328
Princes Bridge,72,38,29,32,46,81,208,401,700,558,701,908,1104,1204,1145,1216,1254,1392,1263,904,797,656,501,294
Flinders Street Station Underpass,90,27,29,25,26,107,297,388,698,515,439,500,648,685,717,797,886,1043,887,655,530,511,434,324
Birrarung Marr,3,3,1,1,5,14,58,118,129,95,81,84,127,116,122,148,148,183,147,69,83,60,29,47
Webb Bridge,3,1,1,2,2,7,31,118,154,121,134,175,214,212,173,204,235,265,166,102,63,47,46,27
Southern Cross Station,9,4,3,4,3,21,92,183,321,158,111,101,183,152,141,166,256,299,181,94,65,35,70,30
Victoria Point,3,2,4,2,4,4,19,54,60,72,66,74,87,68,70,59,80,106,144,116,53,49,78,22
Waterfront City,7,4,3,1,2,2,11,23,30,27,32,28,40,43,43,42,59,67,63,56,40,28,25,11
New Quay,18,10,7,4,4,10,36,84,136,109,139,164,185,175,176,175,230,284,313,343,179,128,176,48
Flagstaff Station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
