bay_id,st_marker_id,status,location,lat,lon
2657,10162E,Unoccupied,"(-37.80459147449535, 144.9494476362235)",-37.80459147449535,144.9494476362235
2665,10173W,Unoccupied,"(-37.80424624833567, 144.94931762698118)",-37.80424624833567,144.94931762698118
3939,C5794,Unoccupied,"(-37.80401038177662, 144.9554807587221)",-37.80401038177662,144.9554807587221
3930,C5776,Present,"(-37.80434280466035, 144.95542100312656)",-37.80434280466035,144.95542100312656
2321,2884N,Unoccupied,"(-37.81086765834064, 144.96676222197016)",-37.81086765834064,144.96676222197016
4276,C6888,Unoccupied,"(-37.8093052181257, 144.95580106205344)",-37.8093052181257,144.95580106205344
3663,7622N,Unoccupied,"(-37.804984510900766, 144.9487256136694)",-37.804984510900766,144.9487256136694
3936,C5788,Present,"(-37.80411018285281, 144.95546281852842)",-37.80411018285281,144.95546281852842
3956,C5880,Present,"(-37.805049362625496, 144.9537931885639)",-37.805049362625496,144.9537931885639
3665,7624N,Present,"(-37.804981341212326, 144.9486975025199)",-37.804981341212326,144.9486975025199
3932,C5780,Present,"(-37.80421007960622, 144.95544486202414)",-37.80421007960622,144.95544486202414
3416,6265S,Present,"(-37.80775320631275, 144.96615764256336)",-37.80775320631275,144.96615764256336
5011,9443S,Unoccupied,"(-37.830222665972336, 144.96604735511164)",-37.830222665972336,144.96604735511164
2749,4580E,Unoccupied,"(-37.80793927082333, 144.96599596432765)",-37.80793927082333,144.96599596432765
3193,5419W,Unoccupied,"(-37.80823444070779, 144.9546771997277)",-37.80823444070779,144.9546771997277
2131,3707S,Unoccupied,"(-37.80916993592463, 144.96551450156215)",-37.80916993592463,144.96551450156215
3267,5824E,Unoccupied,"(-37.80678413595104, 144.95351785207032)",-37.80678413595104,144.95351785207032
3405,6254N,Present,"(-37.80760467000953, 144.9663048493107)",-37.80760467000953,144.9663048493107
3563,7089S,Unoccupied,"(-37.80898189187612, 144.95354385138776)",-37.80898189187612,144.95354385138776
3398,6239W,Present,"(-37.805874010410136, 144.95078756712493)",-37.805874010410136,144.95078756712493
4248,C6828,Present,"(-37.80938773145017, 144.95563994568715)",-37.80938773145017,144.95563994568715
4005,C6048,Unoccupied,"(-37.80605009204831, 144.95210596139026)",-37.80605009204831,144.95210596139026
3920,C5754,Unoccupied,"(-37.80469658766741, 144.9553573821334)",-37.80469658766741,144.9553573821334
3252,5804E,Unoccupied,"(-37.8070834098104, 144.9534650542374)",-37.8070834098104,144.9534650542374
885,795W,Unoccupied,"(-37.81138739382134, 144.96732451137103)",-37.81138739382134,144.96732451137103
4386,C7206,Unoccupied,"(-37.8076428838599, 144.9527478672994)",-37.8076428838599,144.9527478672994
946,C790,Unoccupied,"(-37.81157057108945, 144.96753234404272)",-37.81157057108945,144.96753234404272
8348,783W,Unoccupied,"(-37.81205654670124, 144.96763232945378)",-37.81205654670124,144.96763232945378
3906,C5726,Unoccupied,"(-37.80520172201874, 144.95526658230324)",-37.80520172201874,144.95526658230324
2676,10185W,Unoccupied,"(-37.803932779609106, 144.94937283926816)",-37.803932779609106,144.94937283926816
2662,10169W,Unoccupied,"(-37.80435064498897, 144.9492992310059)",-37.80435064498897,144.9492992310059
4046,C6130,Unoccupied,"(-37.80438686504067, 144.95239853304048)",-37.80438686504067,144.95239853304048
